nom_commune_adherente;code_insee_commune_adherente;zip_code;nom_commune_zip
MORETEL-DE-MAILLES;38262;;MORETEL-DE-MAILLES
Panissage;38293;;Panissage
CELLULE;63068;;CELLULE
Le Brusquet;4036;;Le Brusquet
La Condamine-Châtelard;4062;;La Condamine-Châtelard
Saint-Jurs;4184;;Saint-Jurs
Saint-Laurent-du-Verdon;4186;;Saint-Laurent-du-Verdon
Vachères;4227;;Vachères
Verdaches;4235;;Verdaches
Saint-Marcel-en-Marcillat;3244;;Saint-Marcel-en-Marcillat
Servilly;3272;;Servilly
Châtel-Montagne;3066;;Châtel-Montagne
Thionne;3284;;Thionne
Varennes-sur-Tèche;3299;;Varennes-sur-Tèche
Le Montet;3183;;Le Montet
La Chabanne;3050;;La Chabanne
Saint-Bonnet-de-Rochefort;3220;;Saint-Bonnet-de-Rochefort
Saint-Pourçain-sur-Besbre;3253;;Saint-Pourçain-sur-Besbre
ORVEAU-BELLESAUVE;45236;;ORVEAU-BELLESAUVE
NOTRE-DAME-D'ALLENCON;49227;;NOTRE-DAME-D'ALLENCON
SAINT-GEORGES-SUR-LAYON;49282;;SAINT-GEORGES-SUR-LAYON
CONTIGNE;49105;;CONTIGNE
SAINTE-GEMMES;41210;;SAINTE-GEMMES
ARGOUGES;50018;;ARGOUGES
PRECORBIN;50414;;PRECORBIN
Hérenguerville;50244;;Hérenguerville
LE MESNIL-RAINFRAY;50318;;LE MESNIL-RAINFRAY
Brucheville;50089;;Brucheville
SAINTE-CROIX-SUR-AIZIER;27526;;SAINTE-CROIX-SUR-AIZIER
TOURNY;27653;;TOURNY
LE RECULEY;14532;;LE RECULEY
SAINTE-CROIX-GRAND-TONNE;14568;;SAINTE-CROIX-GRAND-TONNE
TRUTTEMER-LE-PETIT;14718;;TRUTTEMER-LE-PETIT
SAINT-GEORGES-EN-AUGE;14580;;SAINT-GEORGES-EN-AUGE
ONDEFONTAINE;14477;;ONDEFONTAINE
SAINT-GERMAIN-D'ECTOT;14581;;SAINT-GERMAIN-D'ECTOT
FONTENAILLES;89174;;FONTENAILLES
SEYTHENEX;74270;;SEYTHENEX
Pioussay;79211;;Pioussay
Barenton-Bugny;2046;;Barenton-Bugny
Bruyères-et-Montbérault;2128;;Bruyères-et-Montbérault
Juvincourt-et-Damary;2399;;Juvincourt-et-Damary
Lesquielles-Saint-Germain;2422;;Lesquielles-Saint-Germain
Champs;2159;;Champs
Parcy-et-Tigny;2585;;Parcy-et-Tigny
Liesse-Notre-Dame;2430;;Liesse-Notre-Dame
Ugny-le-Gay;2754;;Ugny-le-Gay
Gergny;2342;;Gergny
Origny-en-Thiérache;2574;;Origny-en-Thiérache
Bois-lès-Pargny;2096;;Bois-lès-Pargny
Gibercourt;2345;;Gibercourt
Hinacourt;2380;;Hinacourt
Guignicourt;2360;;Guignicourt
Jumigny;2396;;Jumigny
Cramaille;2233;;Cramaille
Crézancy;2239;;Crézancy
Fontaine-Notre-Dame;2322;;Fontaine-Notre-Dame
Ambly-Fleury;8010;;Ambly-Fleury
Authe;8033;;Authe
Landrichamps;8247;;Landrichamps
Marby;8273;;Marby
Neuville-lès-This;8322;;Neuville-lès-This
Omicourt;8334;;Omicourt
Seuil;8416;;Seuil
Taillette;8436;;Taillette
Arvieux;5007;;Arvieux
Montmorin;5088;;Montmorin
Le Noyer;5095;;Le Noyer
VAUX-SOUS-AUBIGNY;52509;;VAUX-SOUS-AUBIGNY
NEUILLY-SUR-EURE;61305;;NEUILLY-SUR-EURE
SAINT-DENIS-DE-VILLENETTE;61380;;SAINT-DENIS-DE-VILLENETTE
SURVIE;61477;;SURVIE
Grécourt;80389;;Grécourt
COUDEKERQUE;59154;;COUDEKERQUE
Bierre-lès-Semur;21073;;Bierre-lès-Semur
Villegats;16410;;Villegats
Cérizols;9094;;Cérizols
Pouldouran;22253;;Pouldouran
BALLERAY;58022;;BALLERAY
COMMUNAILLES-EN-MONTAGNE;39161;;COMMUNAILLES-EN-MONTAGNE
LES MOLUNES;39341;;LES MOLUNES
LOUVENNE;39303;;LOUVENNE
MONTIGNY-LE-GANNELON;28262;;MONTIGNY-LE-GANNELON
Bleury-Saint-Symphorien;28361;;Bleury-Saint-Symphorien
Saint-Loup;69223;;Saint-Loup
LA CHAPELLE-ACHARD;85052;;LA CHAPELLE-ACHARD
Saint-Hilaire-de-Loulay;85224;;Saint-Hilaire-de-Loulay
Arcens;7012;;Arcens
Borne;7038;;Borne
Gilhoc-sur-Ormèze;7095;;Gilhoc-sur-Ormèze
Issarlès;7106;;Issarlès
Nozières;7166;;Nozières
Saint-Clément;7226;;Saint-Clément
Colombier-le-Cardinal;7067;;Colombier-le-Cardinal
Saint-Romain-de-Lerps;7293;;Saint-Romain-de-Lerps
Saint-Félicien;7236;;Saint-Félicien
Saint-Andéol-de-Berg;7208;;Saint-Andéol-de-Berg
Labégude;7116;;Labégude
Creysseilles;7074;;Creysseilles
Argis;1017;;Argis
Martignat;1237;;Martignat
Oncieu;1279;;Oncieu
Échenevex;1153;;Échenevex
Monthieux;1261;;Monthieux
Étrez;1154;;Étrez
Sulignat;1412;;Sulignat
L' Abergement-Clémenciat;1001;;L' Abergement-Clémenciat
Laiz;1203;;Laiz
CHAMBOIS;61083;;CHAMBOIS
Val-de-Fier;74274;;Val-de-Fier
Belloc;9048;;Belloc
Saint-Jean-d'Aigues-Vives;9262;;Saint-Jean-d'Aigues-Vives
Le Fresne;27268;;Le Fresne
CORNEUIL;27172;;CORNEUIL
Grandvilliers;27297;;Grandvilliers
SAINT-NICOLAS-D'ATTEZ;27573;;SAINT-NICOLAS-D'ATTEZ
Le Broc;6025;;Le Broc
Baratier;5012;;Baratier
LARCHE;4100;;LARCHE
Montsalier;4132;;Montsalier
Rougon;4171;;Rougon
La Celle;3047;;La Celle
Chamblet;3052;;Chamblet
Saint-Genest;3233;;Saint-Genest
Quinssaines;3212;;Quinssaines
Jaligny-sur-Besbre;3132;;Jaligny-sur-Besbre
Bert;3024;;Bert
Marigny;3162;;Marigny
Abrest;3001;;Abrest
VITRAY;3318;;VITRAY
Saint-Priest-d'Andelot;3255;;Saint-Priest-d'Andelot
Montluçon;3185;;Montluçon
NYOISEAU;49233;;NYOISEAU
CHALONNES-SOUS-LE-LUDE;49062;;CHALONNES-SOUS-LE-LUDE
TANCOIGNE;49342;;TANCOIGNE
SAINT-MARS-SOUS-BALLON;72301;;SAINT-MARS-SOUS-BALLON
SAINT-ETIENNE-EN-COGLES;35267;;SAINT-ETIENNE-EN-COGLES
SAINT-MAURICE-DE-TAVERNOLE;17371;;SAINT-MAURICE-DE-TAVERNOLE
Bouyon;6022;;Bouyon
La Brigue;6162;;La Brigue
Les Ferres;6061;;Les Ferres
MARTIGNY;50293;;MARTIGNY
Deux-Évailles;53092;;Deux-Évailles
TOURVILLE-LA-CHAPELLE;76704;;TOURVILLE-LA-CHAPELLE
CARVILLE;14139;;CARVILLE
SAINTE-MARIE-LAUMONT;14618;;SAINTE-MARIE-LAUMONT
LE TOURNEUR;14704;;LE TOURNEUR
Placy;14505;;Placy
Tavey;70497;;Tavey
Martigny-Courpierre;2471;;Martigny-Courpierre
Nouvion-le-Vineux;2561;;Nouvion-le-Vineux
Surfontaine;2732;;Surfontaine
Étaves-et-Bocquiaux;2293;;Étaves-et-Bocquiaux
Germaine;2343;;Germaine
Blanchefosse-et-Bay;8069;;Blanchefosse-et-Bay
Montloué;2519;;Montloué
Villeneuve-sur-Aisne;2360;;Villeneuve-sur-Aisne
Manicamp;2456;;Manicamp
Bussiares;2137;;Bussiares
Courtemont-Varennes;2228;;Courtemont-Varennes
Barby;8048;;Barby
Challerange;8097;;Challerange
Vieux-lès-Asfeld;8473;;Vieux-lès-Asfeld
Linay;8255;;Linay
Mars-sous-Bourcq;8279;;Mars-sous-Bourcq
Saint-Morel;8392;;Saint-Morel
Jandun;8236;;Jandun
Fraillicourt;8178;;Fraillicourt
Crots;5045;;Crots
La Piarre;5102;;La Piarre
Salérans;5160;;Salérans
LES GRAULGES;24203;;LES GRAULGES
Aubencheul-aux-Bois;2030;;Aubencheul-aux-Bois
Grougis;2358;;Grougis
Vendhuile;2776;;Vendhuile
Valfin-sur-Valouse;39542;;Valfin-sur-Valouse
Saint-Cirgues-de-Prades;7223;;Saint-Cirgues-de-Prades
Saint-Étienne-de-Serre;7233;;Saint-Étienne-de-Serre
Saint-Symphorien-de-Mahun;7299;;Saint-Symphorien-de-Mahun
Saint-Péray;7281;;Saint-Péray
Saint-Maurice-d'Ardèche;7272;;Saint-Maurice-d'Ardèche
Brivezac;19032;;Brivezac
Bénonces;1037;;Bénonces
Brénaz;1059;;Brénaz
Cerdon;1068;;Cerdon
Lantenay;1206;;Lantenay
LE PETIT-ABERGEMENT;1292;;LE PETIT-ABERGEMENT
Certines;1069;;Certines
Birieux;1045;;Birieux
Pollieu;1302;;Pollieu
Moulin-Neuf;9213;;Moulin-Neuf
Méras;9186;;Méras
Roquefixade;9249;;Roquefixade
Lassur;9159;;Lassur
Saint-Maime;4188;;Saint-Maime
Saint-Cézaire-sur-Siagne;6118;;Saint-Cézaire-sur-Siagne
Colomars;6046;;Colomars
Canteleux;62210;;Canteleux
Aiglemont;8003;;Aiglemont
Saint-Aignan;8377;;Saint-Aignan
Neuflize;8314;;Neuflize
Annot;4008;;Annot
Authon;4016;;Authon
Montagnac-Montpezat;4124;;Montagnac-Montpezat
Puimoisson;4157;;Puimoisson
DORNOT;57184;;DORNOT
Agonges;3002;;Agonges
Saint-Plaisir;3251;;Saint-Plaisir
Haut-Bocage;3158;;Haut-Bocage
Reugny;3213;;Reugny
Molles;3174;;Molles
Le Vernet;3306;;Le Vernet
Ébreuil;3107;;Ébreuil
Molinet;3173;;Molinet
VEAUNES;26366;;VEAUNES
Freigné;49144;;Freigné
CORNE;49106;;CORNE
Lucéram;6077;;Lucéram
Escragnolles;6058;;Escragnolles
Peille;6091;;Peille
Saint-Laurent-du-Var;6123;;Saint-Laurent-du-Var
BOLLEVILLE;50063;;BOLLEVILLE
BERNEVAL-LE-GRAND;76081;;BERNEVAL-LE-GRAND
SAINT-JEAN-DES-ESSARTIERS;14596;;SAINT-JEAN-DES-ESSARTIERS
SAINT-MARTIN-DE-SALLEN;14628;;SAINT-MARTIN-DE-SALLEN
HAUTMOUGEY;88235;;HAUTMOUGEY
Monterrein;56138;;Monterrein
MOLESMES;89260;;MOLESMES
AVIERNOZ;74022;;AVIERNOZ
LES OLLIERES;74204;;LES OLLIERES
La Bataille;79027;;La Bataille
Saint-Jouin-de-Milly;79261;;Saint-Jouin-de-Milly
Neufchâtel-sur-Aisne;2541;;Neufchâtel-sur-Aisne
Prémont;2618;;Prémont
Retheuil;2644;;Retheuil
Vaux-Andigny;2769;;Vaux-Andigny
Bertaucourt-Epourdon;2074;;Bertaucourt-Epourdon
Saint-Pierre-Aigle;2687;;Saint-Pierre-Aigle
Clermont-les-Fermes;2200;;Clermont-les-Fermes
Autremencourt;2039;;Autremencourt
Buire;2134;;Buire
Châtillon-lès-Sons;2169;;Châtillon-lès-Sons
Erlon;2283;;Erlon
Laigny;2401;;Laigny
Charly-sur-Marne;2163;;Charly-sur-Marne
Gland;2347;;Gland
Villers-sur-Fère;2816;;Villers-sur-Fère
Omissy;2571;;Omissy
Autry;8036;;Autry
Gruyères;8201;;Gruyères
Baâlons;8041;;Baâlons
Matton-et-Clémency;8281;;Matton-et-Clémency
Tourteron;8458;;Tourteron
Launois-sur-Vence;8248;;Launois-sur-Vence
Sainte-Vaubourg;8398;;Sainte-Vaubourg
Sault-Saint-Remy;8404;;Sault-Saint-Remy
Saint-Juvin;8383;;Saint-Juvin
Dévoluy;5139;;Dévoluy
SEPT-FORGES;61469;;SEPT-FORGES
CHAMPS;61090;;CHAMPS
MONCEAUX-AU-PERCHE;61280;;MONCEAUX-AU-PERCHE
Brancourt-le-Grand;2112;;Brancourt-le-Grand
Coutens;9102;;Coutens
CANILHAC;48033;;CANILHAC
SAINT-GEORGES-DE-LEVEJAC;48154;;SAINT-GEORGES-DE-LEVEJAC
Estouches;91222;;Estouches
LAVASTRIE;15099;;LAVASTRIE
LA FERTE-VILLENEUIL;28150;;LA FERTE-VILLENEUIL
SAINT-PELLERIN;28356;;SAINT-PELLERIN
Saint-Jean-d'Ardières;69211;;Saint-Jean-d'Ardières
LA POMMERAIE-SUR-SEVRE;85180;;LA POMMERAIE-SUR-SEVRE
Gluiras;7096;;Gluiras
Vocance;7347;;Vocance
Brossainc;7044;;Brossainc
Vinzieux;7344;;Vinzieux
Cruas;7076;;Cruas
Presles-et-Boves;2620;;Presles-et-Boves
Chevillard;1101;;Chevillard
Leyment;1213;;Leyment
Ruffieu;1330;;Ruffieu
Farges;1158;;Farges
Saint-Paul-de-Varax;1383;;Saint-Paul-de-Varax
PARVES;1286;;PARVES
Montceaux;1258;;Montceaux
Romans;1328;;Romans
Saint-André-de-Bâgé;1332;;Saint-André-de-Bâgé
Saint-Rémy;1385;;Saint-Rémy
Lettret;5074;;Lettret
RONFEUGERAI;61353;;RONFEUGERAI
Gabre;9127;;Gabre
L' Aiguillon;9003;;L' Aiguillon
Bergnicourt;8060;;Bergnicourt
EYLIAC;24166;;EYLIAC
Sévis;76674;;Sévis
Utelle;6151;;Utelle
Aubignosc;4013;;Aubignosc
Beynes;4028;;Beynes
Le Caire;4037;;Le Caire
Saint-Pardoux;87173;;Saint-Pardoux
Billy;3029;;Billy
Saint-Germain-des-Fossés;3236;;Saint-Germain-des-Fossés
Le Breuil;3042;;Le Breuil
Bressolles;3040;;Bressolles
Tronget;3292;;Tronget
Verneuil-en-Bourbonnais;3307;;Verneuil-en-Bourbonnais
Broût-Vernet;3043;;Broût-Vernet
Dancé;42082;;Dancé
Opio;6089;;Opio
Beausoleil;6012;;Beausoleil
Arville;41005;;Arville
NOTRE-DAME-D'ELLE;50380;;NOTRE-DAME-D'ELLE
VASTEVILLE;50620;;VASTEVILLE
CHASSEGUEY;50125;;CHASSEGUEY
SAINT-AUBIN-LE-GUICHARD;27515;;SAINT-AUBIN-LE-GUICHARD
LASSON;14356;;LASSON
ETOUVY;14255;;ETOUVY
SAINT-MARTIN-DON;14632;;SAINT-MARTIN-DON
BRETTEVILLE-SUR-DIVES;14099;;BRETTEVILLE-SUR-DIVES
PLACY-MONTAIGU;50404;;PLACY-MONTAIGU
Le Petit-Mercey;39414;;Le Petit-Mercey
FOURGES;27262;;FOURGES
Braine;2110;;Braine
Taillefontaine;2734;;Taillefontaine
Courtrizy-et-Fussigny;2229;;Courtrizy-et-Fussigny
Saint-Rémy-Blanzy;2693;;Saint-Rémy-Blanzy
Laniscourt;2407;;Laniscourt
VILLERS-EN-PRAYERES;2811;;VILLERS-EN-PRAYERES
Leschelle;2419;;Leschelle
Landifay-et-Bertaignemont;2403;;Landifay-et-Bertaignemont
Marizy-Sainte-Geneviève;2466;;Marizy-Sainte-Geneviève
Veuilly-la-Poterie;2792;;Veuilly-la-Poterie
Viffort;2800;;Viffort
Chémery-Chéhéry;8115;;Chémery-Chéhéry
Saint-Pierremont;8394;;Saint-Pierremont
VRIZY;8493;;VRIZY
Charnois;8106;;Charnois
Blagny;8067;;Blagny
Monthois;8303;;Monthois
Montmeillant;8307;;Montmeillant
Étalle;8155;;Étalle
La Neuville-aux-Joûtes;8318;;La Neuville-aux-Joûtes
L' Épine;5048;;L' Épine
La Grave;5063;;La Grave
Manteyer;5075;;Manteyer
Le Monêtier-les-Bains;5079;;Le Monêtier-les-Bains
Rambaud;5113;;Rambaud
Saint-Laurent-du-Cros;5148;;Saint-Laurent-du-Cros
Tallard;5170;;Tallard
Théus;5171;;Théus
Upaix;5173;;Upaix
Laveyssière;24233;;Laveyssière
Bony;2100;;Bony
Saint-Bauzeil;9256;;Saint-Bauzeil
Clermont;9097;;Clermont
Fabas;9120;;Fabas
FLORENTIA;39226;;FLORENTIA
Chisséria;39148;;Chisséria
RESSONS-L'ABBAYE;60532;;RESSONS-L'ABBAYE
SAINT-MICHEL-MONT-MERCURE;85257;;SAINT-MICHEL-MONT-MERCURE
Asperjoc;7016;;Asperjoc
Issanlas;7105;;Issanlas
Saint-André-Lachamp;7213;;Saint-André-Lachamp
Ardoix;7013;;Ardoix
Vogüé;7348;;Vogüé
Prunet;7187;;Prunet
Chomérac;7066;;Chomérac
Arandas;1013;;Arandas
Corlier;1121;;Corlier
Haut Valromey;1187;;Haut Valromey
Magnieu;1227;;Magnieu
Prémeyzel;1310;;Prémeyzel
Chevry;1103;;Chevry
Lélex;1210;;Lélex
Saint-Bénigne;1337;;Saint-Bénigne
Saint-Étienne-sur-Reyssouze;1352;;Saint-Étienne-sur-Reyssouze
Villemotier;1445;;Villemotier
Perrex;1291;;Perrex
Thil;1418;;Thil
Thoissey;1420;;Thoissey
La Brillanne;4034;;La Brillanne
SAINTE-CROIX-SUR-ORNE;61378;;SAINTE-CROIX-SUR-ORNE
Audressein;9026;;Audressein
Trémoulet;9315;;Trémoulet
AUTHEUIL;61016;;AUTHEUIL
Thelonne;8445;;Thelonne
Annelles;8014;;Annelles
LE CHANGE;24103;;LE CHANGE
UROU-ET-CRENNES;61496;;UROU-ET-CRENNES
CHARRAIS;86060;;CHARRAIS
Majastres;4107;;Majastres
Marcoux;4113;;Marcoux
Villars-Colmars;4240;;Villars-Colmars
Entrepierres;4075;;Entrepierres
Treignat;3288;;Treignat
Ferrières-sur-Sichon;3113;;Ferrières-sur-Sichon
Hauterive;3126;;Hauterive
FORGES;49141;;FORGES
Pierlas;6096;;Pierlas
Touët-sur-Var;6143;;Touët-sur-Var
Andon;6003;;Andon
TROISGOTS;50608;;TROISGOTS
ECOQUENEAUVILLE;50170;;ECOQUENEAUVILLE
BREVANDS;50080;;BREVANDS
SAINT-QUENTIN-AU-BOSC;76643;;SAINT-QUENTIN-AU-BOSC
Saint-Ouen-des-Champs;27581;;Saint-Ouen-des-Champs
SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT;14584;;SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT
LA BIGNE;14073;;LA BIGNE
BIRKENWALD;67041;;BIRKENWALD
Douaumont;55164;;Douaumont
LADUZ;89213;;LADUZ
Soutiers;79318;;Soutiers
Hirson;2381;;Hirson
Terny-Sorny;2739;;Terny-Sorny
Séry-lès-Mézières;2717;;Séry-lès-Mézières
Sinceny;2719;;Sinceny
Montaigu;2498;;Montaigu
Villemontoire;2804;;Villemontoire
Rocquigny;2650;;Rocquigny
Braye;2118;;Braye
Courchamps;2225;;Courchamps
Licy-Clignon;2428;;Licy-Clignon
MARCHAIS-EN-BRIE;2458;;MARCHAIS-EN-BRIE
Deville;8139;;Deville
Montcornet;8297;;Montcornet
Sachy;8375;;Sachy
Saint-Germainmont;8381;;Saint-Germainmont
Briquenay;8086;;Briquenay
Coucy;8133;;Coucy
LES ALLEUX;8007;;LES ALLEUX
ANETZ;44004;;ANETZ
Rosans;5126;;Rosans
Sorbiers;5169;;Sorbiers
Robert-Magny;52427;;Robert-Magny
AUBRY-EN-EXMES;61009;;AUBRY-EN-EXMES
CHAMPEAUX-ET-LA-CHAPELLE-POMMIER;24099;;CHAMPEAUX-ET-LA-CHAPELLE-POMMIER
Le Catelet;2143;;Le Catelet
Moÿ-de-l'Aisne;2532;;Moÿ-de-l'Aisne
Premières;21507;;Premières
Artigat;9019;;Artigat
Encourtiech;9110;;Encourtiech
Saint-Lizier;9268;;Saint-Lizier
Oger;51411;;Oger
Villard-sur-Bienne;39562;;Villard-sur-Bienne
Bréry;39075;;Bréry
LANSLEBOURG-MONT-CENIS;73143;;LANSLEBOURG-MONT-CENIS
Brunelles;28063;;Brunelles
Intres;7103;;Intres
Mazan-l'Abbaye;7154;;Mazan-l'Abbaye
Chassiers;7058;;Chassiers
Saint-Barthélemy-le-Meil;7215;;Saint-Barthélemy-le-Meil
Chavonne;2176;;Chavonne
Blyes;1047;;Blyes
Chazey-Bons;1098;;Chazey-Bons
Hauteville-Lompnes;1185;;Hauteville-Lompnes
Les Neyrolles;1274;;Les Neyrolles
Plagne;1298;;Plagne
Villes;1448;;Villes
Ornex;1281;;Ornex
Bohas-Meyriat-Rignat;1245;;Bohas-Meyriat-Rignat
PRESSIAT;1312;;PRESSIAT
Chavornay;1097;;Chavornay
Chaveyriat;1096;;Chaveyriat
Vonnas;1457;;Vonnas
Bellignat;1031;;Bellignat
Saint-Paul-de-Jarrat;9272;;Saint-Paul-de-Jarrat
Lieurac;9168;;Lieurac
Viviès;9341;;Viviès
Val-de-Sos;9334;;Val-de-Sos
VILLEMOISAN;49376;;VILLEMOISAN
ESTOUTEVILLE-ECALLES;76248;;ESTOUTEVILLE-ECALLES
SAINT-PANTALY-D'ANS;24475;;SAINT-PANTALY-D'ANS
Saint-Hilaire-la-Gérard;61403;;Saint-Hilaire-la-Gérard
Sigonce;4206;;Sigonce
Thorame-Basse;4218;;Thorame-Basse
Archignat;3005;;Archignat
Saint-Pourçain-sur-Sioule;3254;;Saint-Pourçain-sur-Sioule
Saint-Étienne-de-Vicq;3230;;Saint-Étienne-de-Vicq
Châtel-de-Neuvre;3065;;Châtel-de-Neuvre
MEAULNE;3168;;MEAULNE
Vaumas;3300;;Vaumas
GRUGE-L'HOPITAL;49156;;GRUGE-L'HOPITAL
Montagny-sur-Grosne;71304;;Montagny-sur-Grosne
Berre-les-Alpes;6015;;Berre-les-Alpes
Blausasc;6019;;Blausasc
Esplas;9117;;Esplas
LE MESNIL-VIGOT;50325;;LE MESNIL-VIGOT
CIVIERES;27160;;CIVIERES
BURCY;14113;;BURCY
RUCQUEVILLE;14548;;RUCQUEVILLE
Hubert-Folie;14339;;Hubert-Folie
CHAMP-DU-BOULT;14151;;CHAMP-DU-BOULT
CONTEVILLE;14176;;CONTEVILLE
LE MESNIL-BACLEY;14414;;LE MESNIL-BACLEY
Goupillières;14307;;Goupillières
Moval;90073;;Moval
Belleu;2064;;Belleu
Noyant-et-Aconin;2564;;Noyant-et-Aconin
Petit-Verly;2784;;Petit-Verly
Haution;2377;;Haution
Concevreux;2208;;Concevreux
Royaucourt-et-Chailvet;2661;;Royaucourt-et-Chailvet
Danizy;2260;;Danizy
Caulaincourt;2144;;Caulaincourt
Bertricourt;2076;;Bertricourt
Dagny-Lambercy;2256;;Dagny-Lambercy
Rogécourt;2651;;Rogécourt
Loupeigne;2442;;Loupeigne
Marest-Dampcourt;2461;;Marest-Dampcourt
FONTENELLE-EN-BRIE;2325;;FONTENELLE-EN-BRIE
Nogent-l'Artaud;2555;;Nogent-l'Artaud
Puilly-et-Charbeaux;8347;;Puilly-et-Charbeaux
Les Deux-Villes;8138;;Les Deux-Villes
Warnécourt;8498;;Warnécourt
Saint-Jean-aux-Bois;8382;;Saint-Jean-aux-Bois
Brécy-Brières;8082;;Brécy-Brières
Les Mazures;8284;;Les Mazures
Saint-Sulpice-des-Landes;44191;;Saint-Sulpice-des-Landes
La Saulce;5162;;La Saulce
COLONARD-CORUBERT;61112;;COLONARD-CORUBERT
GREZES;24204;;GREZES
Leuilly-sous-Coucy;2423;;Leuilly-sous-Coucy
Saint-Amans;9255;;Saint-Amans
Moulis;9214;;Moulis
MICHAUGUES;58167;;MICHAUGUES
L'AUBEPIN;39023;;L'AUBEPIN
MONTAIMONT;73163;;MONTAIMONT
VILLARLURIN;73321;;VILLARLURIN
ORADOUR;15145;;ORADOUR
Saux;46300;;Saux
Burzet;7045;;Burzet
Joyeuse;7110;;Joyeuse
Mayres;7153;;Mayres
Les Ollières-sur-Eyrieux;7167;;Les Ollières-sur-Eyrieux
Saint-Clair;7225;;Saint-Clair
Gravières;7100;;Gravières
Pradons;7183;;Pradons
Rosières;7199;;Rosières
Saint-Michel-d'Aurance;7276;;Saint-Michel-d'Aurance
Lompnas;1219;;Lompnas
Samognat;1392;;Samognat
CHAVANNES-SUR-SURAN;1095;;CHAVANNES-SUR-SURAN
Curciat-Dongalon;1139;;Curciat-Dongalon
Sermoyer;1402;;Sermoyer
Saint-Denis-en-Bugey;1345;;Saint-Denis-en-Bugey
Charix;1087;;Charix
Cucharmoy;77149;;Cucharmoy
Bonneval;73046;;Bonneval
Oraison;4143;;Oraison
Champignolles;27143;;Champignolles
Cazaux;9090;;Cazaux
Cazals-des-Baylès;9089;;Cazals-des-Baylès
Ilhat;9142;;Ilhat
Malegoude;9178;;Malegoude
La Tour-du-Crieu;9312;;La Tour-du-Crieu
Verdun;9328;;Verdun
Taizy;8438;;Taizy
Allos;4006;;Allos
Bellaffaire;4026;;Bellaffaire
Gigors;4093;;Gigors
Limoise;3146;;Limoise
Chavenon;3070;;Chavenon
Meillard;3169;;Meillard
Saint-Sornin;3260;;Saint-Sornin
Saulzet;3268;;Saulzet
CHARCE-SAINT-ELLIER-SUR-AUBANCE;49078;;CHARCE-SAINT-ELLIER-SUR-AUBANCE
SAINT-JEAN-DES-MAUVRETS;49290;;SAINT-JEAN-DES-MAUVRETS
BRISSARTHE;49051;;BRISSARTHE
Lanhélin;35147;;Lanhélin
Arjuzanx;40009;;Arjuzanx
Lieuche;6076;;Lieuche
Puget-Rostang;6098;;Puget-Rostang
Mougins;6085;;Mougins
SEMERVILLE;41244;;SEMERVILLE
QUETTETOT;50418;;QUETTETOT
LES CHAMBRES;50114;;LES CHAMBRES
CHEVREVILLE;50133;;CHEVREVILLE
THEVRAY;27628;;THEVRAY
Le Tilleul-Othon;27642;;Le Tilleul-Othon
CHENEDOLLE;14156;;CHENEDOLLE
LE MESNIL-AUZOUF;14413;;LE MESNIL-AUZOUF
LE THEIL-BOCAGE;14686;;LE THEIL-BOCAGE
Acqueville;14002;;Acqueville
AUQUAINVILLE;14028;;AUQUAINVILLE
SIGOLSHEIM;68310;;SIGOLSHEIM
Bieuxy;2087;;Bieuxy
Chamouille;2158;;Chamouille
Chevresis-Monceau;2184;;Chevresis-Monceau
Bourg-et-Comin;2106;;Bourg-et-Comin
Commenchon;2207;;Commenchon
Flavy-le-Martel;2315;;Flavy-le-Martel
Filain;2311;;Filain
Assis-sur-Serre;2027;;Assis-sur-Serre
La Neuville-lès-Dorengt;2548;;La Neuville-lès-Dorengt
Ly-Fontaine;2446;;Ly-Fontaine
Arrancy;2024;;Arrancy
Cuffies;2245;;Cuffies
Prémontré;2619;;Prémontré
Montfaucon;2505;;Montfaucon
Brévilly;8083;;Brévilly
Château-Porcien;8107;;Château-Porcien
Mouron;8310;;Mouron
Saint-Loup-en-Champagne;8386;;Saint-Loup-en-Champagne
Sery;8415;;Sery
Jonval;8238;;Jonval
Bourcq;8077;;Bourcq
Flaignes-Havys;8169;;Flaignes-Havys
FRESNAY-EN-RETZ;44059;;FRESNAY-EN-RETZ
CHATEAUNEUF-DE-CHABRE;5034;;CHATEAUNEUF-DE-CHABRE
Châteauneuf-d'Oze;5035;;Châteauneuf-d'Oze
Gap;5061;;Gap
La Roche-des-Arnauds;5123;;La Roche-des-Arnauds
Serres;5166;;Serres
LONGEVILLE-SUR-LA-LAINES;52293;;LONGEVILLE-SUR-LA-LAINES
MALE;61246;;MALE
SAINT-SULPICE-DE-MAREUIL;24503;;SAINT-SULPICE-DE-MAREUIL
Monceau-le-Waast;2493;;Monceau-le-Waast
Nauroy;2539;;Nauroy
CLARQUES;62226;;CLARQUES
Rabat-les-Trois-Seigneurs;9241;;Rabat-les-Trois-Seigneurs
Prat-Bonrepaux;9235;;Prat-Bonrepaux
Tourtouse;9313;;Tourtouse
Le Carlaret;9081;;Le Carlaret
SAINT-ANDEOL-DE-CLERGUEMORT;48134;;SAINT-ANDEOL-DE-CLERGUEMORT
Pommerit-Jaudy;22247;;Pommerit-Jaudy
SAINT-GELVEN;22290;;SAINT-GELVEN
Camous;65122;;Camous
